	dextrosa_rep1	dextrosa_rep2	dextrosa_rep3	impranil_rep1	impranil_rep2	impranil_rep3
TRINITY_DN1000_c0_g1	987	1109	873	427	421	402
TRINITY_DN1001_c0_g1	6	8	6	6	8	6
TRINITY_DN1002_c0_g1	902	624	998	425	459	401
TRINITY_DN1003_c0_g1	283	299	291	273	270	256
TRINITY_DN1004_c0_g1	19	14	17	6	5	2
TRINITY_DN1005_c0_g1	654	773	952	657	658	626
TRINITY_DN1006_c0_g1	156	129	121	102	99	104
TRINITY_DN1007_c0_g1	549	521	562	506	489	423
TRINITY_DN1008_c0_g1	11	14	6	66	62	49
TRINITY_DN1008_c0_g2	0	0	0	13	0	0
TRINITY_DN1009_c0_g1	11	11	0	0	0	0
TRINITY_DN100_c0_g1	50	0	0	32	32	15
TRINITY_DN1010_c0_g1	10	13	7	1	2	1
TRINITY_DN1011_c0_g1	10	4	8	2	3	0
TRINITY_DN1012_c0_g1	49	42	43	8	11	12
TRINITY_DN1013_c0_g1	243	283	364	164	140	129
TRINITY_DN1015_c0_g1	5	3	6	2	1	3
TRINITY_DN1018_c0_g1	39	28	39	6	8	8
TRINITY_DN1019_c0_g1	0	14	0	0	0	0
TRINITY_DN101_c0_g1	65	54	69	27	25	26
TRINITY_DN1020_c0_g1	764	705	847	593	572	522
TRINITY_DN1021_c0_g1	8	6	12	2	0	0
TRINITY_DN1022_c0_g1	0	0	0	15	0	14
TRINITY_DN1023_c0_g1	12	8	9	12	12	14
TRINITY_DN1024_c0_g1	152	156	145	65	60	43
TRINITY_DN1025_c0_g1	182	142	155	7	18	7
TRINITY_DN1026_c0_g1	5	6	10	0	2	1
TRINITY_DN1028_c0_g1	41	47	41	5	6	4
TRINITY_DN1029_c0_g1	414	454	403	276	260	216
TRINITY_DN102_c0_g1	227	255	249	123	140	110
TRINITY_DN1030_c0_g1	234	223	254	85	120	98
TRINITY_DN1031_c0_g1	918	1001	969	1099	1033	975
TRINITY_DN1032_c0_g1	878	1010	851	531	508	436
TRINITY_DN1033_c0_g1	14	16	14	0	1	1
TRINITY_DN1034_c0_g1	139	103	128	23	26	27
TRINITY_DN1035_c0_g1	165	98	178	7	4	7
TRINITY_DN1037_c0_g1	55	39	39	26	21	27
TRINITY_DN1038_c0_g1	10	3	9	0	0	0
TRINITY_DN1039_c0_g1	352	390	356	120	110	116
TRINITY_DN103_c0_g1	7	3	0	0	6	2
TRINITY_DN1040_c0_g1	32	31	54	2	2	5
TRINITY_DN1041_c0_g1	76	58	84	43	35	34
TRINITY_DN1042_c0_g1	181	181	161	57	64	63
TRINITY_DN1043_c0_g1	92	60	55	5	7	6
TRINITY_DN1044_c0_g1	39	32	30	27	21	24
TRINITY_DN1045_c0_g1	33	33	12	3	2	1
TRINITY_DN1046_c0_g1	45	46	30	4	9	5
TRINITY_DN1047_c0_g1	15	12	12	0	4	3
TRINITY_DN1048_c0_g1	268	288	365	164	190	151
TRINITY_DN1049_c0_g1	177	199	175	68	76	61
TRINITY_DN104_c0_g1	18	19	15	1	1	0
TRINITY_DN1050_c0_g1	9	5	5	0	1	0
TRINITY_DN1051_c0_g1	144	127	167	73	85	65
TRINITY_DN1052_c0_g1	1637	1760	1810	700	748	648
TRINITY_DN1053_c0_g1	456	331	557	508	460	481
TRINITY_DN1055_c0_g1	26	29	29	11	11	11
TRINITY_DN1056_c0_g1	92	101	85	56	65	56
TRINITY_DN1057_c0_g1	17	19	15	25	24	20
TRINITY_DN1058_c0_g1	160	168	139	132	142	132
TRINITY_DN1059_c0_g1	256	260	254	122	113	93
TRINITY_DN105_c0_g1	52	44	29	6	5	7
TRINITY_DN1060_c0_g1	4	8	9	1	0	0
TRINITY_DN1061_c0_g1	120	85	76	25	28	18
TRINITY_DN1063_c0_g1	2450	1011	2959	92	153	102
TRINITY_DN1064_c0_g1	305	275	439	120	99	91
TRINITY_DN1065_c0_g1	24	24	24	8	8	8
TRINITY_DN1066_c0_g1	34	32	28	4	6	3
TRINITY_DN1067_c0_g1	258	229	292	72	87	80
TRINITY_DN1069_c0_g1	158	153	136	74	74	65
TRINITY_DN106_c0_g1	11	3	10	0	0	2
TRINITY_DN1071_c0_g1	16	12	16	15	11	9
TRINITY_DN1072_c0_g1	350	466	375	564	625	531
TRINITY_DN1072_c10_g1	0	0	0	0	0	0
TRINITY_DN1072_c11_g1	0	0	0	0	0	0
TRINITY_DN1072_c13_g1	0	0	0	0	0	0
TRINITY_DN1072_c14_g1	0	0	0	0	0	0
TRINITY_DN1072_c15_g1	0	0	0	0	0	0
TRINITY_DN1072_c16_g1	0	0	0	0	0	0
TRINITY_DN1072_c17_g1	0	0	0	0	0	0
TRINITY_DN1072_c18_g1	0	0	0	0	0	0
TRINITY_DN1072_c19_g1	0	0	0	0	0	0
TRINITY_DN1072_c20_g1	0	0	0	0	0	0
TRINITY_DN1072_c21_g1	0	0	0	0	0	0
TRINITY_DN1072_c22_g1	0	0	0	0	0	0
TRINITY_DN1072_c23_g1	0	0	0	0	0	0
TRINITY_DN1072_c25_g1	0	0	0	0	0	0
TRINITY_DN1072_c26_g1	0	0	0	0	0	0
TRINITY_DN1072_c27_g1	0	0	0	0	0	0
TRINITY_DN1072_c29_g1	0	0	0	0	0	0
TRINITY_DN1072_c30_g1	0	0	0	0	0	0
TRINITY_DN1072_c31_g1	0	0	0	0	0	0
TRINITY_DN1072_c3_g1	0	0	0	0	0	0
TRINITY_DN1072_c4_g1	0	0	0	0	0	0
TRINITY_DN1072_c5_g1	0	0	0	0	0	0
TRINITY_DN1072_c8_g1	0	0	0	0	0	0
TRINITY_DN1072_c9_g1	0	0	0	0	0	0
TRINITY_DN1074_c0_g1	30	29	27	35	26	26
TRINITY_DN1075_c0_g1	107	80	70	92	94	89
TRINITY_DN1076_c0_g1	30	33	38	46	42	40
